company_id,company_name,broad_sector,pattern_label
BAJAJ-AUTO,Bajaj Auto Ltd,Consumer Discretionary,
BOSCHLTD,Bosch Ltd,Consumer Discretionary,
DMART,Avenue Supermarts Ltd,Consumer Discretionary,
EICHERMOT,Eicher Motors Ltd,Consumer Discretionary,
HEROMOTOCO,"Hero MotoCorp Ltd
",Consumer Discretionary,
INDIGO,Interglobe Aviation Ltd,Consumer Discretionary,
IRCTC,Indian Railway Catering & Tourism Corporation Ltd,Consumer Discretionary,
M&M,"Mahindra & Mahindra Ltd
",Consumer Discretionary,
MARUTI,Maruti Suzuki India Ltd,Consumer Discretionary,
MOTHERSON,Samvardhana Motherson International Ltd,Consumer Discretionary,
TATAMOTORS,Tata Motors Ltd,Consumer Discretionary,
TITAN,"Titan Company Ltd
",Consumer Discretionary,
TRENT,Trent Ltd,Consumer Discretionary,
TVSMOTOR,TVS Motor Company Ltd,Consumer Discretionary,
