company_id,company_name,broad_sector,pattern_label
AXISBANK,Axis Bank Ltd,Financials,
BAJAJFINSV,Bajaj Finserv Ltd,Financials,
BAJAJHLDNG,Bajaj Holdings & Investment Ltd,Financials,
BAJFINANCE,Bajaj Finance Ltd,Financials,
BANKBARODA,Bank of Baroda,Financials,
CANBK,Canara Bank,Financials,
CHOLAFIN,Cholamandalam Investment & Finance Company Ltd,Financials,
HDFCBANK,HDFC Bank Ltd,Financials,
HDFCLIFE,HDFC Life Insurance Company Ltd,Financials,
ICICIBANK,ICICI Bank Ltd,Financials,
ICICIGI,ICICI Lombard General Insurance Company Ltd,Financials,
ICICIPRULI,ICICI Prudential Life Insurance Company Ltd,Financials,
INDUSINDBK,IndusInd Bank Ltd,Financials,
IRFC,Indian Railway Finance Corporation Ltd,Financials,
JIOFIN,Jio Financial Services Ltd,Financials,
KOTAKBANK,"Kotak Mahindra Bank Ltd
",Financials,
LICI,Life Insurance Corporation of India,Financials,
PFC,Power Finance Corporation Ltd,Financials,
PNB,Punjab National Bank,Financials,
RECLTD,REC Ltd,Financials,
SBILIFE,SBI Life Insurance Company Ltd,Financials,
SBIN,State Bank of India,Financials,
SHRIRAMFIN,"Shriram Finance Ltd
",Financials,
